Column,Value
BuildingName,BORRETT MANSIONS
BuildingName,HO LEE COMMERCIAL BUILDING
BuildingName,THE PRINCE PHILIP DENTAL HOSPITAL
BuildingName,HA LUNG BUILDING
BuildingName,HILLIER COMMERCIAL BUILDING
BuildingName,299QRC
BuildingName,STAG BUILDING
BuildingName,LAN KWAI HSE
BuildingName,QUEEN'S TOWER
BuildingName,PONG FAI BUILDING
BuildingName,GOLDEN VALLEY MANSION
BuildingName,FAI MAN BUILDING
BuildingName,NEW MANSION
BuildingName,WING ON CENTRE
BuildingName,HONG LOK MANSION
BuildingName,CATALINA MANSIONS
BuildingName,GLORY MANSION
BuildingName,GRAND HOUSE
BuildingName,HUNG CHEONG HOUSE
BuildingName,HOLLYWOOD HEIGHTS
BuildingName,BONITO CASA
BuildingName,ROBINSON GARDEN APARTMENTS
BuildingName,YU SUNG BOON BUILDING
BuildingName,ABDOOLALLY HSE
BuildingName,TUNG HIP COMMERCIAL BUILDING
BuildingName,HARVEST BUILDING
BuildingName,MAINSLIT BUILDING
BuildingName,YUEN YICK BUILDING
BuildingName,HING YIP COMMERCIAL CENTRE
BuildingName,FU WAH BUILDING
BuildingName,ROWEN COURT
BuildingName,CENTREPLACE
BuildingName,HOOVER MANSION
BuildingName,PICCADILLY MANSION
BuildingName,FULHAM GARDEN
BuildingName,RICHMOND COURT
BuildingName,CARITAS FRANCIS HSU COLLEGE
BuildingName,HOUSE OF GRACE-HONG KONG BAPTIST CH URCH
BuildingName,MERLIN BUILDING
BuildingName,ARTS BUILDING
BuildingName,WHITTY STREET COURT
BuildingName,MAN FAT MANSION
BuildingName,LOK PO HOUSE
BuildingName,SHUN LOONG MANSION
BuildingName,WING LEE BUILDING
BuildingName,WING YU BUILDING
